epoch,DE,E,I,loss,mse_odd_even_sol,val_DE,val_E,val_I,val_loss,val_mse_odd_even_sol
65,48.582698822021484,"""[40.903767]""","""[0.066582434]""",121.23928833007812,0.5713666677474976,NA,NA,NA,NA,NA
66,48.01545333862305,"""[41.205303]""","""[0.06685817]""",57.20602035522461,0.5681253671646118,NA,NA,NA,NA,NA
67,47.363914489746094,"""[41.52946]""","""[0.067167476]""",147.019775390625,0.5645816922187805,NA,NA,NA,NA,NA
68,47.219635009765625,"""[41.63189]""","""[0.06742867]""",43.50012969970703,0.5630130171775818,NA,NA,NA,NA,NA
69,47.142486572265625,"""[41.702534]""","""[0.06767164]""",55.484580993652344,0.5617579817771912,NA,NA,NA,NA,NA
70,47.24494171142578,"""[41.69855]""","""[0.06788431]""",51.87257385253906,0.5612162947654724,NA,NA,NA,NA,NA
71,47.1972770690918,"""[41.750446]""","""[0.068093315]""",357.5953369140625,0.5602102875709534,NA,NA,NA,NA,NA
72,47.95558166503906,"""[41.48468]""","""[0.06825161]""",93.83393859863281,0.5620397925376892,NA,NA,NA,NA,NA
73,49.043670654296875,"""[41.07613]""","""[0.068438366]""",113.45492553710938,0.564993143081665,NA,NA,NA,NA,NA
74,50.525146484375,"""[40.482433]""","""[0.06870012]""",102.13258361816406,0.5693033933639526,NA,NA,NA,NA,NA
75,52.35004806518555,"""[39.696236]""","""[0.06905283]""",170.64907836914062,0.5750143527984619,NA,NA,NA,NA,NA
76,53.47829055786133,"""[39.239212]""","""[0.069519356]""",130.4852294921875,0.5777031183242798,NA,NA,NA,NA,NA
77,54.0794563293457,"""[39.048683]""","""[0.0699867]""",76.19522857666016,0.5781644582748413,NA,NA,NA,NA,NA
78,54.935447692871094,"""[38.705986]""","""[0.070415065]""",77.01179504394531,0.580039381980896,NA,NA,NA,NA,NA
79,55.42878341674805,"""[38.554142]""","""[0.070829734]""",175.54583740234375,0.5803388357162476,NA,NA,NA,NA,NA
80,55.303001403808594,"""[38.740234]""","""[0.07123191]""",51.97021484375,0.5777737498283386,NA,NA,NA,NA,NA
81,55.021053314208984,"""[38.99653]""","""[0.07162145]""",39.8600959777832,0.5746275186538696,NA,NA,NA,NA,NA
82,54.77362823486328,"""[39.218662]""","""[0.071992934]""",232.7960968017578,0.5718109011650085,NA,NA,NA,NA,NA
83,53.814659118652344,"""[39.781628]""","""[0.072428316]""",99.2027816772461,0.565874457359314,NA,NA,NA,NA,NA
84,52.557220458984375,"""[40.44104]""","""[0.07294502]""",41.73503112792969,0.5588610768318176,NA,NA,NA,NA,NA
85,51.46306228637695,"""[40.986618]""","""[0.07354921]""",79.46271514892578,0.5525626540184021,NA,NA,NA,NA,NA
86,50.861019134521484,"""[41.30526]""","""[0.07415465]""",48.73204803466797,0.5482110977172852,NA,NA,NA,NA,NA
87,50.4683952331543,"""[41.52695]""","""[0.07474246]""",123.81559753417969,0.5447377562522888,NA,NA,NA,NA,NA
88,50.57865905761719,"""[41.555107]""","""[0.07522885]""",120.93338775634766,0.5432543754577637,NA,NA,NA,NA,NA
89,51.14845657348633,"""[41.416115]""","""[0.075651325]""",53.204559326171875,0.5434490442276001,NA,NA,NA,NA,NA
90,51.50090026855469,"""[41.348076]""","""[0.07604327]""",246.04190063476562,0.5430867075920105,NA,NA,NA,NA,NA
91,52.57691955566406,"""[41.016983]""","""[0.076417424]""",56.251502990722656,0.5451551079750061,NA,NA,NA,NA,NA
92,53.39205551147461,"""[40.773293]""","""[0.07679812]""",157.51351928710938,0.5464259386062622,NA,NA,NA,NA,NA
93,53.5572509765625,"""[40.766678]""","""[0.077141106]""",42.273658752441406,0.5456542372703552,NA,NA,NA,NA,NA
94,53.66801452636719,"""[40.775993]""","""[0.07745935]""",112.5577392578125,0.5448001623153687,NA,NA,NA,NA,NA
95,54.264549255371094,"""[40.599842]""","""[0.077759676]""",205.80682373046875,0.5456779599189758,NA,NA,NA,NA,NA
96,55.533931732177734,"""[40.153828]""","""[0.07803194]""",100.5298843383789,0.5490856766700745,NA,NA,NA,NA,NA
97,57.199058532714844,"""[39.52791]""","""[0.07835979]""",95.48384094238281,0.5540124773979187,NA,NA,NA,NA,NA
98,59.242088317871094,"""[38.70775]""","""[0.07881211]""",41.41665267944336,0.560463011264801,NA,NA,NA,NA,NA
99,61.246673583984375,"""[37.862343]""","""[0.07939035]""",135.37677001953125,0.5669472217559814,NA,NA,NA,NA,NA
100,62.519187927246094,"""[37.35494]""","""[0.079995036]""",273.2311096191406,0.5703431963920593,NA,NA,NA,NA,NA
101,62.777976989746094,"""[37.380997]""","""[0.08056564]""",250.2801055908203,0.5688900947570801,NA,NA,NA,NA,NA
102,62.169612884521484,"""[37.834473]""","""[0.081040315]""",327.44610595703125,0.5636506080627441,NA,NA,NA,NA,NA
103,60.713829040527344,"""[38.66357]""","""[0.08158966]""",322.70849609375,0.5547236800193787,NA,NA,NA,NA,NA
104,58.503883361816406,"""[39.742653]""","""[0.08237684]""",299.6162109375,0.5428780317306519,NA,NA,NA,NA,NA
105,55.731998443603516,"""[40.909607]""","""[0.083557524]""",184.4796142578125,0.5291451811790466,NA,NA,NA,NA,NA
106,54.166404724121094,"""[41.558434]""","""[0.08503873]""",275.1810607910156,0.5194247961044312,NA,NA,NA,NA,NA
107,53.741615295410156,"""[41.812412]""","""[0.08650424]""",45.90540313720703,0.5134868621826172,NA,NA,NA,NA,NA
108,53.484375,"""[41.99264]""","""[0.08790299]""",176.95443725585938,0.5084050893783569,NA,NA,NA,NA,NA
109,53.813907623291016,"""[42.005005]""","""[0.08921376]""",42.885013580322266,0.5052444338798523,NA,NA,NA,NA,NA
110,54.124855041503906,"""[42.011734]""","""[0.0904165]""",234.02432250976562,0.502414345741272,NA,NA,NA,NA,NA
111,55.1291389465332,"""[41.83876]""","""[0.09150271]""",102.87061309814453,0.5017613768577576,NA,NA,NA,NA,NA
112,56.519126892089844,"""[41.561855]""","""[0.09258516]""",92.94212341308594,0.5022299885749817,NA,NA,NA,NA,NA
113,58.273773193359375,"""[41.180008]""","""[0.09367972]""",63.565521240234375,0.5037952661514282,NA,NA,NA,NA,NA
114,60.26994705200195,"""[40.719776]""","""[0.09479819]""",41.63731384277344,0.5061655640602112,NA,NA,NA,NA,NA
115,62.22537612915039,"""[40.258286]""","""[0.09593904]""",110.12950134277344,0.5085623264312744,NA,NA,NA,NA,NA
116,63.57127380371094,"""[39.968765]""","""[0.097081125]""",169.60572814941406,0.5092325806617737,NA,NA,NA,NA,NA
117,64.10881805419922,"""[39.913147]""","""[0.098131314]""",336.3768310546875,0.5076876878738403,NA,NA,NA,NA,NA
118,63.503170013427734,"""[40.186073]""","""[0.099153616]""",49.464149475097656,0.5027366280555725,NA,NA,NA,NA,NA
119,63.19292449951172,"""[40.356503]""","""[0.10012886]""",119.029296875,0.4989455044269562,NA,NA,NA,NA,NA
120,63.559417724609375,"""[40.331886]""","""[0.1010856]""",47.522422790527344,0.4972790777683258,NA,NA,NA,NA,NA
