epoch,DE,E,I,loss,mse_odd_even_sol,val_DE,val_E,val_I,val_loss,val_mse_odd_even_sol
86,6.549039840698242,"""[7.3971753]""","""[0.10581838]""",8.196736335754395,0.4465126693248749,NA,NA,NA,NA,NA
87,6.709918975830078,"""[7.3973293]""","""[0.10869705]""",8.191750526428223,0.44072896242141724,NA,NA,NA,NA,NA
88,6.880334854125977,"""[7.3974767]""","""[0.11170719]""",8.186540603637695,0.43480148911476135,NA,NA,NA,NA,NA
89,7.060844898223877,"""[7.397619]""","""[0.11485713]""",8.181097030639648,0.4287252426147461,NA,NA,NA,NA,NA
90,7.251946449279785,"""[7.397756]""","""[0.11815628]""",8.17540454864502,0.4224943220615387,NA,NA,NA,NA,NA
91,7.454092502593994,"""[7.3978896]""","""[0.12161506]""",8.169449806213379,0.4161021411418915,NA,NA,NA,NA,NA
92,7.66768741607666,"""[7.3980227]""","""[0.12524508]""",8.16321849822998,0.40954163670539856,NA,NA,NA,NA,NA
93,7.893113613128662,"""[7.3981614]""","""[0.12905896]""",8.156700134277344,0.4028051793575287,NA,NA,NA,NA,NA
94,8.130739212036133,"""[7.3983083]""","""[0.13307069]""",8.149874687194824,0.3958848714828491,NA,NA,NA,NA,NA
95,8.380946159362793,"""[7.398469]""","""[0.13729544]""",8.142727851867676,0.388772577047348,NA,NA,NA,NA,NA
96,8.644132614135742,"""[7.398647]""","""[0.14174968]""",8.13524055480957,0.3814600110054016,NA,NA,NA,NA,NA
97,8.920761108398438,"""[7.3988485]""","""[0.14645122]""",8.12739372253418,0.3739391565322876,NA,NA,NA,NA,NA
98,9.211358070373535,"""[7.3990755]""","""[0.15141928]""",8.11916446685791,0.3662022054195404,NA,NA,NA,NA,NA
99,9.516550064086914,"""[7.399333]""","""[0.15667453]""",8.110530853271484,0.3582416772842407,NA,NA,NA,NA,NA
100,9.837077140808105,"""[7.3996253]""","""[0.16223918]""",8.101468086242676,0.35005080699920654,NA,NA,NA,NA,NA
101,10.173824310302734,"""[7.3999567]""","""[0.16813698]""",8.09195327758789,0.34162333607673645,NA,NA,NA,NA,NA
102,10.527824401855469,"""[7.400329]""","""[0.17439352]""",8.081954956054688,0.3329540193080902,NA,NA,NA,NA,NA
103,10.900287628173828,"""[7.4007487]""","""[0.18103611]""",8.071450233459473,0.3240385353565216,NA,NA,NA,NA,NA
104,11.292598724365234,"""[7.4012213]""","""[0.18809392]""",8.060412406921387,0.31487366557121277,NA,NA,NA,NA,NA
105,11.706337928771973,"""[7.4017467]""","""[0.1955985]""",8.048809051513672,0.3054574131965637,NA,NA,NA,NA,NA
106,12.143279075622559,"""[7.4023337]""","""[0.20358329]""",8.036613464355469,0.29578930139541626,NA,NA,NA,NA,NA
107,12.605390548706055,"""[7.402986]""","""[0.2120843]""",8.023797035217285,0.28587019443511963,NA,NA,NA,NA,NA
108,13.094836235046387,"""[7.4037104]""","""[0.22114]""",8.010333061218262,0.27570298314094543,NA,NA,NA,NA,NA
109,13.613982200622559,"""[7.4045105]""","""[0.23079166]""",7.99619197845459,0.2652922570705414,NA,NA,NA,NA,NA
110,14.165374755859375,"""[7.405391]""","""[0.24108323]""",7.9813456535339355,0.2546449303627014,NA,NA,NA,NA,NA
111,14.751744270324707,"""[7.4063573]""","""[0.25206164]""",7.965769290924072,0.24377042055130005,NA,NA,NA,NA,NA
112,15.376002311706543,"""[7.407418]""","""[0.2637767]""",7.949442386627197,0.23268087208271027,NA,NA,NA,NA,NA
113,16.04123306274414,"""[7.40858]""","""[0.27628103]""",7.93234920501709,0.22139181196689606,NA,NA,NA,NA,NA
114,16.750682830810547,"""[7.4098496]""","""[0.2896303]""",7.914474964141846,0.20992211997509003,NA,NA,NA,NA,NA
115,17.50774383544922,"""[7.411236]""","""[0.30388236]""",7.895815372467041,0.1982949823141098,NA,NA,NA,NA,NA
116,18.31595802307129,"""[7.412748]""","""[0.31909713]""",7.876376628875732,0.18653808534145355,NA,NA,NA,NA,NA
117,19.17898941040039,"""[7.414396]""","""[0.33533594]""",7.856173992156982,0.17468412220478058,NA,NA,NA,NA,NA
118,20.10060691833496,"""[7.416192]""","""[0.3526604]""",7.835240364074707,0.1627713441848755,NA,NA,NA,NA,NA
119,21.084672927856445,"""[7.4181466]""","""[0.37113115]""",7.81362247467041,0.15084396302700043,NA,NA,NA,NA,NA
120,22.13507843017578,"""[7.420274]""","""[0.39080632]""",7.791390895843506,0.13895246386528015,NA,NA,NA,NA,NA
121,23.255735397338867,"""[7.422581]""","""[0.41173914]""",7.768631935119629,0.12715372443199158,NA,NA,NA,NA,NA
122,24.45047378540039,"""[7.4250836]""","""[0.4339755]""",7.745467185974121,0.11551108211278915,NA,NA,NA,NA,NA
123,25.723007202148438,"""[7.4277887]""","""[0.45755056]""",7.722040176391602,0.10409381985664368,NA,NA,NA,NA,NA
124,27.076772689819336,"""[7.4307027]""","""[0.48248497]""",7.698524475097656,0.09297661483287811,NA,NA,NA,NA,NA
125,28.514873504638672,"""[7.4338293]""","""[0.5087808]""",7.675125598907471,0.08223829418420792,NA,NA,NA,NA,NA
126,30.039833068847656,"""[7.4371667]""","""[0.53641593]""",7.652076721191406,0.0719602033495903,NA,NA,NA,NA,NA
127,31.653440475463867,"""[7.4407067]""","""[0.5653395]""",7.629636287689209,0.06222410500049591,NA,NA,NA,NA,NA
128,33.35646438598633,"""[7.4444385]""","""[0.59546584]""",7.608086585998535,0.0531092993915081,NA,NA,NA,NA,NA
129,35.14839172363281,"""[7.4483385]""","""[0.6266694]""",7.587714195251465,0.04468942806124687,NA,NA,NA,NA,NA
130,37.02705383300781,"""[7.452375]""","""[0.65878016]""",7.568805694580078,0.037028804421424866,NA,NA,NA,NA,NA
131,38.98822784423828,"""[7.4565086]""","""[0.6915793]""",7.551631927490234,0.030178701505064964,NA,NA,NA,NA,NA
