epoch,DE,E,I,loss,mse_odd_even_sol,y0,yL,val_DE,val_E,val_I,val_loss,val_mse_odd_even_sol,val_y0,val_yL
95,0.005305483937263489,"""[1.2286999]""","""[0.74148405]""",46.84908676147461,0.4158994257450104,"""[[1.445448]]""","""[[-1.388092]]""",NA,NA,NA,NA,NA,NA,NA
96,0.00539453374221921,"""[1.2320311]""","""[0.7415199]""",48.11839294433594,0.41593942046165466,"""[[1.4467477]]""","""[[-1.3865001]]""",NA,NA,NA,NA,NA,NA,NA
97,0.005451570730656385,"""[1.2353308]""","""[0.74116653]""",46.839290618896484,0.4158608317375183,"""[[1.4464327]]""","""[[-1.3859537]]""",NA,NA,NA,NA,NA,NA,NA
98,0.005503544118255377,"""[1.2384621]""","""[0.7404394]""",48.380348205566406,0.4157443344593048,"""[[1.4457625]]""","""[[-1.3850558]]""",NA,NA,NA,NA,NA,NA,NA
99,0.005524188745766878,"""[1.2416414]""","""[0.73945695]""",47.39060974121094,0.41552111506462097,"""[[1.4435949]]""","""[[-1.3853433]]""",NA,NA,NA,NA,NA,NA,NA
100,0.005565148778259754,"""[1.2445992]""","""[0.7382217]""",46.81631851196289,0.41534119844436646,"""[[1.442243]]""","""[[-1.3841895]]""",NA,NA,NA,NA,NA,NA,NA
101,0.005606034770607948,"""[1.2475139]""","""[0.73685074]""",46.90419006347656,0.4151521921157837,"""[[1.4408222]]""","""[[-1.3828369]]""",NA,NA,NA,NA,NA,NA,NA
102,0.005641974974423647,"""[1.250474]""","""[0.7354412]""",48.49053192138672,0.4149458408355713,"""[[1.4391338]]""","""[[-1.3817047]]""",NA,NA,NA,NA,NA,NA,NA
103,0.005651143845170736,"""[1.2536674]""","""[0.73411304]""",47.71693801879883,0.41466960310935974,"""[[1.4362103]]""","""[[-1.382123]]""",NA,NA,NA,NA,NA,NA,NA
104,0.005646905396133661,"""[1.2570511]""","""[0.7329226]""",47.149566650390625,0.4143695831298828,"""[[1.4325957]]""","""[[-1.3835691]]""",NA,NA,NA,NA,NA,NA,NA
105,0.005641762632876635,"""[1.2605939]""","""[0.7319144]""",46.880306243896484,0.41408511996269226,"""[[1.4287972]]""","""[[-1.3855448]]""",NA,NA,NA,NA,NA,NA,NA
106,0.005644227843731642,"""[1.2642713]""","""[0.73111373]""",46.813934326171875,0.4138389527797699,"""[[1.4252034]]""","""[[-1.3876659]]""",NA,NA,NA,NA,NA,NA,NA
107,0.005662554409354925,"""[1.2680504]""","""[0.73051995]""",46.79941177368164,0.413645476102829,"""[[1.4222763]]""","""[[-1.389439]]""",NA,NA,NA,NA,NA,NA,NA
108,0.005691410508006811,"""[1.2719698]""","""[0.73015195]""",47.16106414794922,0.41349074244499207,"""[[1.4197694]]""","""[[-1.3911793]]""",NA,NA,NA,NA,NA,NA,NA
109,0.005720050539821386,"""[1.2760897]""","""[0.73004264]""",46.843875885009766,0.4133586585521698,"""[[1.4170313]]""","""[[-1.3936411]]""",NA,NA,NA,NA,NA,NA,NA
110,0.005756603553891182,"""[1.2803627]""","""[0.73015875]""",46.96897506713867,0.41326186060905457,"""[[1.414503]]""","""[[-1.3962866]]""",NA,NA,NA,NA,NA,NA,NA
111,0.005797550082206726,"""[1.2847909]""","""[0.73048985]""",46.78486633300781,0.41319647431373596,"""[[1.4119252]]""","""[[-1.3993616]]""",NA,NA,NA,NA,NA,NA,NA
112,0.005850356072187424,"""[1.2893142]""","""[0.73096794]""",46.78480529785156,0.4131632149219513,"""[[1.4098331]]""","""[[-1.4021863]]""",NA,NA,NA,NA,NA,NA,NA
113,0.005913435015827417,"""[1.2939191]""","""[0.73155046]""",46.79571533203125,0.4131522476673126,"""[[1.4081879]]""","""[[-1.4047306]]""",NA,NA,NA,NA,NA,NA,NA
114,0.005981562193483114,"""[1.2986053]""","""[0.7322162]""",46.87672805786133,0.4131581485271454,"""[[1.4066108]]""","""[[-1.4073409]]""",NA,NA,NA,NA,NA,NA,NA
115,0.006052007898688316,"""[1.3033593]""","""[0.73293936]""",46.75834274291992,0.4131806194782257,"""[[1.404845]]""","""[[-1.4102212]]""",NA,NA,NA,NA,NA,NA,NA
116,0.006128939334303141,"""[1.3081405]""","""[0.73364806]""",47.19325637817383,0.41320908069610596,"""[[1.4033251]]""","""[[-1.4128073]]""",NA,NA,NA,NA,NA,NA,NA
117,0.006216695532202721,"""[1.3129128]""","""[0.73425245]""",46.77228546142578,0.4132189452648163,"""[[1.4027137]]""","""[[-1.4143003]]""",NA,NA,NA,NA,NA,NA,NA
118,0.006307866424322128,"""[1.3176863]""","""[0.734768]""",46.97785949707031,0.41321688890457153,"""[[1.4023066]]""","""[[-1.4154234]]""",NA,NA,NA,NA,NA,NA,NA
119,0.0064046429470181465,"""[1.3224484]""","""[0.73514915]""",46.920326232910156,0.4131900370121002,"""[[1.4024401]]""","""[[-1.4157716]]""",NA,NA,NA,NA,NA,NA,NA
120,0.0065057710744440556,"""[1.3271986]""","""[0.7353946]""",47.567195892333984,0.4131399989128113,"""[[1.4029776]]""","""[[-1.4154755]]""",NA,NA,NA,NA,NA,NA,NA
121,0.006616413127630949,"""[1.3319236]""","""[0.7354683]""",46.717979431152344,0.41305628418922424,"""[[1.404447]]""","""[[-1.4139516]]""",NA,NA,NA,NA,NA,NA,NA
122,0.006727512925863266,"""[1.3366492]""","""[0.7354567]""",47.25435256958008,0.41296958923339844,"""[[1.4057186]]""","""[[-1.4124507]]""",NA,NA,NA,NA,NA,NA,NA
123,0.0068483189679682255,"""[1.3413558]""","""[0.7353189]""",46.704593658447266,0.41286835074424744,"""[[1.4076436]]""","""[[-1.4100566]]""",NA,NA,NA,NA,NA,NA,NA
124,0.00696940440684557,"""[1.3460834]""","""[0.7351396]""",47.50336456298828,0.41277289390563965,"""[[1.4092386]]""","""[[-1.4078882]]""",NA,NA,NA,NA,NA,NA,NA
125,0.0070776138454675674,"""[1.3508945]""","""[0.73499686]""",46.70365524291992,0.41268742084503174,"""[[1.4095225]]""","""[[-1.407084]]""",NA,NA,NA,NA,NA,NA,NA
126,0.007185111753642559,"""[1.3557528]""","""[0.7348336]""",47.481571197509766,0.4125998020172119,"""[[1.4095744]]""","""[[-1.4064683]]""",NA,NA,NA,NA,NA,NA,NA
127,0.007308581378310919,"""[1.3606001]""","""[0.73458606]""",47.62681579589844,0.4125051200389862,"""[[1.4106501]]""","""[[-1.404662]]""",NA,NA,NA,NA,NA,NA,NA
128,0.007417009677737951,"""[1.3655614]""","""[0.73441833]""",46.688228607177734,0.412416011095047,"""[[1.4104129]]""","""[[-1.404322]]""",NA,NA,NA,NA,NA,NA,NA
129,0.007525942754000425,"""[1.3706025]""","""[0.7342766]""",46.77129364013672,0.4123278558254242,"""[[1.4100131]]""","""[[-1.4041911]]""",NA,NA,NA,NA,NA,NA,NA
130,0.007632806431502104,"""[1.3757414]""","""[0.734185]""",47.41899108886719,0.41224291920661926,"""[[1.4092484]]""","""[[-1.4045178]]""",NA,NA,NA,NA,NA,NA,NA
131,0.007758649066090584,"""[1.3809052]""","""[0.73405504]""",47.16795349121094,0.4121555984020233,"""[[1.4096235]]""","""[[-1.4036229]]""",NA,NA,NA,NA,NA,NA,NA
132,0.007900862023234367,"""[1.3861051]""","""[0.7339139]""",47.11698913574219,0.4120715856552124,"""[[1.4108586]]""","""[[-1.4018313]]""",NA,NA,NA,NA,NA,NA,NA
133,0.00803341157734394,"""[1.3914502]""","""[0.7338819]""",47.19563293457031,0.41199347376823425,"""[[1.4111682]]""","""[[-1.4011765]]""",NA,NA,NA,NA,NA,NA,NA
134,0.008155579678714275,"""[1.3969417]""","""[0.73395526]""",46.672298431396484,0.41191795468330383,"""[[1.410574]]""","""[[-1.4016356]]""",NA,NA,NA,NA,NA,NA,NA
135,0.008278973400592804,"""[1.4025416]""","""[0.73408735]""",47.27128601074219,0.4118465185165405,"""[[1.4098009]]""","""[[-1.4023815]]""",NA,NA,NA,NA,NA,NA,NA
136,0.008393856696784496,"""[1.4082849]""","""[0.7343176]""",46.616416931152344,0.4117831289768219,"""[[1.4081417]]""","""[[-1.404196]]""",NA,NA,NA,NA,NA,NA,NA
137,0.008518095128238201,"""[1.4140903]""","""[0.73455536]""",48.292354583740234,0.41172516345977783,"""[[1.406789]]""","""[[-1.4057014]]""",NA,NA,NA,NA,NA,NA,NA
138,0.008670219220221043,"""[1.4199038]""","""[0.7346922]""",47.02411651611328,0.41165339946746826,"""[[1.4071833]]""","""[[-1.4052682]]""",NA,NA,NA,NA,NA,NA,NA
139,0.008814558386802673,"""[1.425831]""","""[0.73488766]""",46.61723709106445,0.4115883708000183,"""[[1.4067214]]""","""[[-1.4057947]]""",NA,NA,NA,NA,NA,NA,NA
140,0.008966422639787197,"""[1.4318165]""","""[0.73505783]""",46.6082763671875,0.41151919960975647,"""[[1.4065284]]""","""[[-1.4060013]]""",NA,NA,NA,NA,NA,NA,NA
141,0.009125298820436,"""[1.437858]""","""[0.7351977]""",47.23506546020508,0.41144508123397827,"""[[1.4065702]]""","""[[-1.4059135]]""",NA,NA,NA,NA,NA,NA,NA
142,0.009273980744183064,"""[1.4440092]""","""[0.7353902]""",47.61863708496094,0.4113798141479492,"""[[1.40556]]""","""[[-1.4069632]]""",NA,NA,NA,NA,NA,NA,NA
